No,b,h,t,L,fy,fc,N,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
478,102.7,160.8,2.04,480,305.1,49.4,1080,,,,,
479,105.9,161.4,2.96,480,255.1,49.4,1420,,,,,
480,105.7,158.2,2.93,480,255.1,49.4,1440,,,,,
481,103.3,159.1,4.8,480,347.3,49.4,1875,,,,,
482,102.4,156.7,4.8,480,347.3,49.4,1915,,,,,
483,104.4,158.8,4.85,480,347.3,49.4,1820,,,,,
484,121.6,188.4,4.88,480,347.3,49.4,2260,,,,,
485,120.4,190.9,4.83,570,347.3,49.4,2510,,,,,
486,102.1,160.2,2,570,305.1,58.6,1555,,,,,
487,99.6,162.8,2.13,480,305.1,58.6,1460,,,,,
488,98.5,162.3,2,480,305.1,58.6,1545,,,,,
489,105.1,159.1,2.93,480,255.1,58.6,1610,,,,,
490,102.2,163.8,2.93,480,255.1,58.6,1680,,,,,
491,104.5,162.6,3.04,480,255.1,58.6,1640,,,,,
492,103.4,156.9,4.71,480,347.3,58.6,2090,,,,,
493,106.9,162,4.81,480,347.3,58.6,2320,,,,,
494,102.6,158.9,4.74,480,347.3,58.6,2060,,,,,
495,119.7,164.6,2.01,480,305.1,58.6,1800,,,,,
496,121,194.8,4.72,570,347.3,49.4,2700,,,,,
497,121.7,189.6,4.81,570,347.3,49.4,2680,,,,,
498,100.7,162.7,2.97,480,255.1,49.4,1080,,,,,
499,149.3,149.3,3.64,1350,289,44,1552,,,,,
500,99.6,200.6,3.56,1800,289,44,1461,,,,,
501,114.3,114.3,9.63,406.4,254.07,32.13,2442.07,,,,,
502,114.86,114.86,4.39,406.4,254.07,32.13,896.76,,,,,
503,76.2,76.2,3.35,1727.2,324.05,35.85,355.86,,,,,
504,76.2,76.2,3.35,1422.4,324.05,34.03,385.22,,,,,
505,76.2,76.2,3.35,1117.6,324.05,46.75,422.58,,,,,
506,76.2,76.2,3.35,812.8,324.05,45.06,462.62,,,,,
507,76.2,76.2,3.35,508,324.05,40.85,505.76,,,,,
508,76.2,76.2,3.35,254,324.05,40.85,511.55,,,,,
509,150,150,0.7,480,245.17,22.56,558,,,,,
510,150,150,0.7,800,245.17,22.56,611.93,,,,,
511,150,150,1.4,800,245.17,22.56,711.96,,,,,
